"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14444","","","","","22274","","","","","30104","","","","","32540","","","","","34328","","","","","36114","","","","","53593","","","","73494",
"Africa Eastern and Southern","AFE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9866398","","","","","9277398","","","","","7841279","","","","","7851999","","","","","8185883","","","","","11457566","","","","","13059376","","","","14970184",
"Afghanistan","AFG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57686","","","","","71522","","","","","75917","","","","","87314","","","","","102276","","","","","339432","","","","","144098","","","","98110",
"Africa Western and Central","AFW","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5144370","","","","","6150843","","","","","6235142","","","","","7273041","","","","","7921501","","","","","9240994","","","","","9997182","","","","11327779",
"Angola","AGO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33517","","","","","39813","","","","","46108","","","","","62331","","","","","336367","","","","","632178","","","","","656434","","","","676507",
"Albania","ALB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66013","","","","","71354","","","","","76695","","","","","64739","","","","","52784","","","","","52031","","","","","48810","","","","46377",
"Andorra","AND","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38891","","","","","44206","","","","","42147","","","","","50298","","","","","52053","","","","","42264","","","","","45574","","","","48408",
"Arab World","ARB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13621324","","","","","14366026","","","","","15836887","","","","","18997733","","","","","28174387","","","","","37971563","","","","","40035123","","","","44540617",
"United Arab Emirates","ARE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1302298","","","","","1795514","","","","","2373577","","","","","3218730","","","","","5446000","","","","","6859000","","","","","7184000","","","","8157000",
"Argentina","ARG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1647935","","","","","1589660","","","","","1543851","","","","","1641560","","","","","1799680","","","","","1856613","","","","","1912294","","","","1958039",
"Armenia","ARM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433541","","","","","622042","","","","","588242","","","","","476812","","","","","210873","","","","","190896","","","","","207139","","","","274645",
"American Samoa","ASM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21283","","","","","23098","","","","","24912","","","","","24233","","","","","23555","","","","","23513","","","","","23608","","","","23684",
"Antigua and Barbuda","ATG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12029","","","","","17550","","","","","23071","","","","","24741","","","","","26412","","","","","28082","","","","","29386","","","","30473",
"Australia","AUS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3991501","","","","","4215646","","","","","4389847","","","","","4880921","","","","","5879802","","","","","6733056","","","","","7604850","","","","8111404",
"Austria","AUT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633753","","","","","764758","","","","","920045","","","","","1174101","","","","","1285706","","","","","1540486","","","","","1781046","","","","2327064",
"Azerbaijan","AZE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402177","","","","","588812","","","","","523518","","","","","301922","","","","","251417","","","","","224337","","","","","198894","","","","218460",
"Burundi","BDI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333110","","","","","254853","","","","","125628","","","","","192774","","","","","247321","","","","","298299","","","","","344767","","","","387101",
"Belgium","BEL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","944340","","","","","1003834","","","","","1076676","","","","","1243352","","","","","1567639","","","","","1814949","","","","","2046975","","","","2349032",
"Benin","BEN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76751","","","","","105703","","","","","134655","","","","","248320","","","","","309225","","","","","366284","","","","","394276","","","","418202",
"Burkina Faso","BFA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349652","","","","","464104","","","","","520363","","","","","597658","","","","","674438","","","","","704676","","","","","723989","","","","739820",
"Bangladesh","BGD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881617","","","","","934735","","","","","987853","","","","","1062270","","","","","1345546","","","","","1422179","","","","","2115408","","","","2906338",
"Bulgaria","BGR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21510","","","","","32435","","","","","43360","","","","","61074","","","","","76287","","","","","123803","","","","","184363","","","","299100",
