Country Name,Country Code,Year,education
Africa Eastern and Southern,AFE,1970,16.8848991394043
Afghanistan,AFG,1970,8.36410045623779
Africa Western and Central,AFW,1970,7.98661994934082
Arab World,ARB,1970,37.2041091918945
Argentina,ARG,1970,44.4310989379883
Brunei Darussalam,BRN,1970,48.7408409118652
Bhutan,BTN,1970,2.27627992630005
Botswana,BWA,1970,8.29621982574463
China,CHN,1970,25.6986503601074
Caribbean small states,CSS,1970,52.5725898742676
East Asia & Pacific (excluding high income),EAP,1970,29.0610294342041
East Asia & Pacific,EAS,1970,36.8691215515137
Fragile and conflict affected situations,FCS,1970,24.2629108428955
Fiji,FJI,1970,55.003360748291
Guatemala,GTM,1970,10.2123498916626
Honduras,HND,1970,12.2723503112793
Heavily indebted poor countries (HIPC),HPC,1970,11.3295698165894
IBRD only,IBD,1970,44.3641090393066
IDA & IBRD total,IBT,1970,40.1952018737793
IDA total,IDA,1970,19.424280166626
IDA blend,IDB,1970,22.6684398651123
Indonesia,IDN,1970,18.1371803283691
IDA only,IDX,1970,17.5970897674561
Kenya,KEN,1970,17.4474391937256
Kiribati,KIR,1970,11.2923097610474
Liberia,LBR,1970,9.33553028106689
Least developed countries: UN classification,LDC,1970,13.3520603179932
Low income,LIC,1970,18.3280696868896
Sri Lanka,LKA,1970,49.2505111694336
Low & middle income,LMY,1970,39.5843315124512
Lesotho,LSO,1970,11.6659202575684
Late-demographic dividend,LTE,1970,41.0458602905273
Maldives,MDV,1970,1.76689994335175
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1970,30.8565406799316
Middle income,MIC,1970,40.8476905822754
Malaysia,MYS,1970,40.6236915588379
Nigeria,NGA,1970,4.47895002365112
Nicaragua,NIC,1970,18.0389995574951
Other small states,OSS,1970,45.4145698547363
Panama,PAN,1970,38.0133399963379
Peru,PER,1970,36.2610893249512
Papua New Guinea,PNG,1970,8.36670017242432
Pre-demographic dividend,PRE,1970,9.78966999053955
Paraguay,PRY,1970,17.6388893127441
Pacific island small states,PSS,1970,51.5451889038086
Solomon Islands,SLB,1970,7.79726982116699
El Salvador,SLV,1970,22.1263103485107
Sub-Saharan Africa (excluding high income),SSA,1970,13.2164497375488
Sub-Saharan Africa,SSF,1970,13.2196397781372
Small states,SST,1970,48.1302604675293
Eswatini,SWZ,1970,16.3403606414795
Seychelles,SYC,1970,30.1778202056885
East Asia & Pacific (IDA & IBRD countries),TEA,1970,27.9643096923828
Sub-Saharan Africa (IDA & IBRD countries),TSS,1970,13.2196397781372
Tanzania,TZA,1970,2.83882999420166
Uganda,UGA,1970,3.47943997383118
Upper middle income,UMC,1970,36.6282806396484
Vanuatu,VUT,1970,5.76427984237671
World,WLD,1970,49.3384590148926
Samoa,WSM,1970,59.6584205627441
Zambia,ZMB,1970,12.1826801300049
Zimbabwe,ZWE,1970,7.04229021072388
Africa Eastern and Southern,AFE,1971,16.1438903808594
Afghanistan,AFG,1971,9.37827014923096
Africa Western and Central,AFW,1971,8.21300029754639
Angola,AGO,1971,6.15856981277466
Andorra,AND,1971,23.6061305999756
Arab World,ARB,1971,33.9620399475098
Argentina,ARG,1971,45.5424003601074
Burundi,BDI,1971,1.69605004787445
Benin,BEN,1971,4.0755500793457
Burkina Faso,BFA,1971,1.3445600271225
Bahrain,BHR,1971,42.3922500610352
"Bahamas, The",BHS,1971,93.3461227416992
Belarus,BLR,1971,88.4100723266602
Bermuda,BMU,1971,85.6168518066406
Barbados,BRB,1971,88.0299911499023
Brunei Darussalam,BRN,1971,51.5552597045898
Bhutan,BTN,1971,2.63386011123657
Botswana,BWA,1971,9.72729015350342
Central African Republic,CAF,1971,3.51150989532471
China,CHN,1971,34.3487205505371
Cote d'Ivoire,CIV,1971,9.22047996520996
Cameroon,CMR,1971,8.15713024139404
"Congo, Dem. Rep.",COD,1971,9.68144989013672
"Congo, Rep.",COG,1971,15.7612495422363
Comoros,COM,1971,3.51297998428345
Caribbean small states,CSS,1971,52.4924697875977
Cuba,CUB,1971,22.8366298675537
Algeria,DZA,1971,12.1087102890015
East Asia & Pacific (excluding high income),EAP,1971,32.0123596191406
East Asia & Pacific,EAS,1971,38.695728302002
"Egypt, Arab Rep.",EGY,1971,30.7486190795898
Ethiopia,ETH,1971,4.09932994842529
Fragile and conflict affected situations,FCS,1971,24.1301708221436
Fiji,FJI,1971,58.1894416809082
"Micronesia, Fed. Sts.",FSM,1971,143.328674316406
Gabon,GAB,1971,13.3138599395752
Ghana,GHA,1971,41.2566719055176
Gibraltar,GIB,1971,79.2052993774414
Guinea,GIN,1971,12.0461301803589
"Gambia, The",GMB,1971,6.97776985168457
Guinea-Bissau,GNB,1971,6.43560981750488
Equatorial Guinea,GNQ,1971,12.7412595748901
Grenada,GRD,1971,33.0204696655273
Guatemala,GTM,1971,8.62909984588623
Guyana,GUY,1971,64.9109802246094
Honduras,HND,1971,14.1202802658081
Heavily indebted poor countries (HIPC),HPC,1971,11.0111799240112
IBRD only,IBD,1971,28.7930793762207
IDA & IBRD total,IBT,1971,27.1726608276367
IDA total,IDA,1971,19.319299697876
IDA blend,IDB,1971,22.5202198028564
Indonesia,IDN,1971,18.5684204101562
IDA only,IDX,1971,17.5077800750732
"Iran, Islamic Rep.",IRN,1971,25.8973293304443
Iraq,IRQ,1971,26.6325798034668
Kenya,KEN,1971,17.8143405914307
Cambodia,KHM,1971,9.24367046356201
Kiribati,KIR,1971,12.0268497467041
Kuwait,KWT,1971,52.1537208557129
Lao PDR,LAO,1971,3.72350001335144
Lebanon,LBN,1971,40.1970901489258
Liberia,LBR,1971,10.1644096374512
Libya,LBY,1971,18.4759197235107
Least developed countries: UN classification,LDC,1971,13.0751895904541
Low income,LIC,1971,17.9838790893555
Sri Lanka,LKA,1971,51.6891899108887
Low & middle income,LMY,1971,26.5458698272705
Lesotho,LSO,1971,7.40993022918701
Late-demographic dividend,LTE,1971,43.1067886352539
Morocco,MAR,1971,12.3752899169922
Monaco,MCO,1971,141.329483032227
Madagascar,MDG,1971,10.2149801254272
Maldives,MDV,1971,1.71446001529694
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1971,28.5780906677246
Middle income,MIC,1971,27.064790725708
Mali,MLI,1971,4.43847990036011
Myanmar,MMR,1971,20.4729804992676
Mongolia,MNG,1971,59.4528198242188
Mozambique,MOZ,1971,3.52592992782593
Malaysia,MYS,1971,42.2398986816406
Niger,NER,1971,0.945670008659363
Nigeria,NGA,1971,4.84703016281128
Nicaragua,NIC,1971,18.6145801544189
Nauru,NRU,1971,43.6974792480469
Oman,OMN,1971,0.0
Other small states,OSS,1971,34.1499786376953
Pakistan,PAK,1971,14.8839998245239
Panama,PAN,1971,40.7691192626953
Peru,PER,1971,38.3405914306641
Philippines,PHL,1971,44.3256683349609
Papua New Guinea,PNG,1971,8.74952983856201
Pre-demographic dividend,PRE,1971,9.87133979797363
Paraguay,PRY,1971,17.8411407470703
Pacific island small states,PSS,1971,53.0746994018555
Senegal,SEN,1971,8.74192047119141
Solomon Islands,SLB,1971,9.2832498550415
Sierra Leone,SLE,1971,9.29331016540527
El Salvador,SLV,1971,21.3805503845215
