ISO3,year,value
AFG,1991,2092348.2941258864
AFG,1992,2296014.0436909096
AFG,1993,2542180.399655516
AFG,1994,2750005.457728074
AFG,1995,2918585.497439896
AFG,1996,3037002.198155823
AFG,1997,3111408.259885368
AFG,1998,3164596.603962882
AFG,1999,3233335.1221574647
AFG,2000,3338758.7240007045
AFG,2001,3509000.8747993624
AFG,2002,3590422.1858057003
AFG,2003,3749959.8037404935
AFG,2004,3921699.8697124375
AFG,2005,4029469.867696922
AFG,2006,4071664.339738796
AFG,2007,4071698.672500761
AFG,2008,4083787.948467935
AFG,2009,3998362.279727772
AFG,2010,3937605.461223045
AFG,2011,4029127.693860209
AFG,2012,4055946.364731474
AFG,2013,4138968.851445678
AFG,2014,4231880.677787377
AFG,2015,4318997.725255358
AFG,2016,4382769.724771695
AFG,2017,4376415.701137488
AFG,2018,4450650.799314937
AFG,2019,4548158.325
ALB,1991,876085.64173074
ALB,1992,879653.4995340153
ALB,1993,849569.4312235456
ALB,1994,820853.2363167725
ALB,1995,783753.4404827821
ALB,1996,767820.1143956814
ALB,1997,786575.0762224016
ALB,1998,764936.8025
ALB,1999,733531.2545368286
ALB,2000,709750.7870344805
ALB,2001,677177.596780945
ALB,2002,658650.4564303515
ALB,2003,640653.8743813431
ALB,2004,621890.234729738
ALB,2005,602592.5938085703
ALB,2006,583473.5164224647
ALB,2007,568197.9785196384
ALB,2008,551212.475348637
ALB,2009,540238.4411792003
ALB,2010,515860.8464340615
ALB,2011,622665.9123319406
ALB,2012,604456.1
ALB,2013,544768.9873670684
ALB,2014,525680.9937021271
ALB,2015,537834.2145047054
ALB,2016,532069.5502253739
ALB,2017,512155.0806124936
ALB,2018,522086.8616806623
ALB,2019,517924.7877757713
DZA,1991,1673284.688306464
DZA,1992,1724303.916626413
DZA,1993,1782217.9743400838
DZA,1994,1836977.65839985
DZA,1995,1881483.83980284
DZA,1996,1921306.631711961
DZA,1997,1942396.5847135424
DZA,1998,1961221.5792285888
DZA,1999,1981072.18294562
DZA,2000,1983690.813119321
DZA,2001,1977075.992517872
DZA,2002,2025931.198040305
DZA,2003,2073021.0253443576
DZA,2004,1962596.599103816
DZA,2005,1851249.1266634904
DZA,2006,1739464.3301603682
DZA,2007,1625770.5603417633
DZA,2008,1519005.6422198568
DZA,2009,1407409.2305364928
DZA,2010,1314518.32951828
DZA,2011,1216490.0763577912
DZA,2012,1232844.2987627103
DZA,2013,1271146.6287049097
DZA,2014,1215257.5568546955
DZA,2015,1233009.5920665755
DZA,2016,1251973.2055174345
DZA,2017,1266346.5469039383
DZA,2018,1243829.177551875
DZA,2019,1220788.6564500476
AGO,1991,1990734.160564809
AGO,1992,2059593.7899769016
AGO,1993,2148375.6177454214
AGO,1994,2212361.4465777306
AGO,1995,2254052.922859969
AGO,1996,2290474.9077702807
AGO,1997,2338348.2670194176
AGO,1998,2392792.6441943683
AGO,1999,2455639.3925652406
AGO,2000,2517192.375
AGO,2001,2581694.2944229697
AGO,2002,2620521.08939786
AGO,2003,2704156.301382957
AGO,2004,2778586.855119016
AGO,2005,3033389.5078533343
AGO,2006,3315014.457552864
AGO,2007,3607402.859673829
AGO,2008,3934005.168229916
AGO,2009,4283379.6891789045
AGO,2010,4672962.80709276
AGO,2011,5075893.413501793
AGO,2012,5261812.760753584
AGO,2013,5449294.82640667
AGO,2014,5643316.831686287
AGO,2015,5852094.667241786
