ISO3,year,value
BEL,1846,178000.0
BEL,1856,211000.0
BEL,1866,242000.0
BEL,1880,384000.0
BEL,1890,526000.0
BEL,1900,607000.0
BEL,1910,622000.0
BEL,1920,605000.0
BEL,1930,823000.0
BEL,1947,893000.0
BEL,1961,972000.0
BEL,1970,2018394.0
BEL,1971,2060225.0
BEL,1972,2095485.0
BEL,1973,2133861.0
BEL,1974,2181319.0
BEL,1975,2209577.0
BEL,1976,2244537.0
BEL,1977,2281863.0
BEL,1978,2333681.0
BEL,1979,2390219.0
BEL,1980,2423309.0
BEL,1981,2433417.0
BEL,1982,2441924.0
BEL,1983,2436561.0
BEL,1984,2456067.0
BEL,1985,2490729.0
BEL,1986,2530800.0
BEL,1987,2579206.0
BEL,1988,2653365.0
BEL,1989,2697631.0
BEL,1990,2734407.0
BEL,1991,2756438.0
BEL,1992,2773621.0
BEL,1993,2788374.0
BEL,1994,2801515.0
BEL,1995,2840925.0
BEL,1996,2871121.0
BEL,1997,2903721.0
BEL,1998,2964989.0
BEL,1999,3024268.0
BEL,2000,3096733.0
BEL,2001,3149220.0
BEL,2002,3175551.0
BEL,2003,3199953.0
BEL,2004,3242231.0
BEL,2005,3300567.0
BEL,2006,3356015.0
BEL,2007,3430756.0
FIN,1805,122000.0
FIN,1880,96000.0
FIN,1900,107000.0
FIN,1910,109000.0
FIN,1920,164000.0
FIN,1930,228000.0
FIN,1940,338000.0
FIN,1950,494000.0
FIN,1960,666000.0
FIN,1970,1052300.0
FIN,1971,1063300.0
FIN,1972,1092300.0
FIN,1973,1123700.0
FIN,1974,1150000.0
FIN,1975,1174000.0
FIN,1976,1195500.0
FIN,1977,1200300.0
FIN,1978,1213800.0
FIN,1979,1242200.0
FIN,1980,1276800.0
FIN,1981,1312500.0
FIN,1982,1340400.0
FIN,1983,1364000.0
FIN,1984,1387700.0
FIN,1985,1416000.0
FIN,1986,1436000.0
FIN,1987,1471100.0
FIN,1988,1507000.0
FIN,1989,1541900.0
FIN,1990,1546900.0
FIN,1991,1489200.0
FIN,1992,1408700.0
FIN,1993,1341000.0
FIN,1994,1327900.0
FIN,1995,1353700.0
FIN,1996,1383100.0
FIN,1997,1427700.0
FIN,1998,1463300.0
FIN,1999,1501600.0
FIN,2000,1539700.0
FIN,2001,1578000.0
FIN,2002,1612999.0
FIN,2003,1628200.0
FIN,2004,1648399.0
FIN,2005,1672578.0
FIN,2006,1703616.0
FIN,2007,1742379.0
FRA,1856,3025000.0
FRA,1866,3370000.0
FRA,1886,4567000.0
FRA,1896,5036000.0
FRA,1901,5812000.0
FRA,1906,5821000.0
FRA,1911,5429000.0
FRA,1921,6323000.0
FRA,1926,6176000.0
FRA,1931,6715000.0
FRA,1936,6877000.0
FRA,1946,7124000.0
FRA,1954,7550000.0
FRA,1962,8160000.0
FRA,1968,8782000.0
FRA,1970,10533637.0
FRA,1971,10743241.0
FRA,1972,10988698.0
FRA,1973,11297179.0
FRA,1974,11590422.0
FRA,1975,11743202.0
FRA,1976,12121229.0
FRA,1977,12464425.0
FRA,1978,12745006.0
FRA,1979,13001861.0
FRA,1980,13173372.0
FRA,1981,13376062.0
FRA,1982,13588512.0
FRA,1983,13769271.0
FRA,1984,14038654.0
FRA,1985,14111551.0
FRA,1986,14332437.0
FRA,1987,14665982.0
FRA,1988,14959214.0
FRA,1989,15340701.0
FRA,1990,15575800.0
FRA,1991,15752600.0
FRA,1992,15879000.0
FRA,1993,15940400.0
FRA,1994,16181200.0
FRA,1995,16411900.0
FRA,1996,16599700.0
FRA,1997,16799900.0
FRA,1998,17175500.0
FRA,1999,17652600.0
FRA,2000,18214200.0
FRA,2001,18591300.0
FRA,2002,18813500.0
FRA,2003,18934000.0
FRA,2004,19048700.0
FRA,2005,19204600.0
FRA,2006,19455915.0
FRA,2007,19785540.0
JPN,1872,1746000.0
JPN,1880,2175000.0
JPN,1890,3045000.0
JPN,1900,4010000.0
JPN,1910,5061000.0
JPN,1920,6445000.0
JPN,1930,8056000.0
JPN,1940,9027000.0
JPN,1950,10382000.0
JPN,1953,14196613.0
JPN,1954,14903398.0
JPN,1955,15764527.0
JPN,1956,16491093.0
JPN,1957,17246142.0
JPN,1958,17986076.0
JPN,1959,18604803.0
JPN,1960,19335568.0
JPN,1961,20060201.0
JPN,1962,20912496.0
JPN,1963,22072563.0
JPN,1964,23112852.0
JPN,1965,24087359.0
JPN,1966,25200130.0
JPN,1967,25967374.0
JPN,1968,26590224.0
JPN,1969,27302276.0
JPN,1970,27912011.0
JPN,1971,28851196.0
JPN,1972,29379725.0
JPN,1973,30367436.0
JPN,1974,30846130.0
JPN,1975,31604650.0
JPN,1976,32237463.0
JPN,1977,33010901.0
JPN,1978,33492077.0
JPN,1979,34130660.0
JPN,1980,34654679.0
JPN,1981,35283332.0
JPN,1982,35908209.0
JPN,1983,36562363.0
JPN,1984,36768650.0
JPN,1985,36842999.0
JPN,1986,37214703.0
JPN,1987,37530385.0
JPN,1988,37765116.0
JPN,1989,38046593.0
JPN,1990,38624341.0
JPN,1991,39274351.0
JPN,1992,39798119.0
JPN,1993,40491097.0
JPN,1994,40848793.0
JPN,1995,41385126.0
JPN,1996,41839546.0
JPN,1997,42438972.0
JPN,1998,42705857.0
JPN,1999,42484792.0
JPN,2000,42606536.0
JPN,2001,42861385.0
JPN,2002,42822758.0
JPN,2003,43022959.0
JPN,2004,43648262.0
JPN,2005,44124182.0
JPN,2006,44417304.0
JPN,2007,44670126.0
JPN,2008,44235216.0
JPN,2009,41449802.0
JPN,2010,41824336.0
JPN,2011,42150651.0
JPN,2012,42178352.0
NLD,1807,267644.0
NLD,1849,360855.0
NLD,1859,375301.0
NLD,1889,553776.0
NLD,1899,665487.0
NLD,1909,814840.0
NLD,1920,1109000.0
NLD,1930,1496000.0
NLD,1947,1832000.0
NLD,1949,2198909.0
NLD,1960,2589058.0
NLD,1961,2638989.0
NLD,1962,2686545.0
NLD,1963,2720293.0
NLD,1964,2767505.0
NLD,1965,2833550.0
NLD,1966,2889533.0
NLD,1967,2964734.0
NLD,1968,3075195.0
NLD,1969,3133449.0
NLD,1970,3214411.0
NLD,1971,3211291.0
NLD,1972,3251189.0
NLD,1973,3315723.0
NLD,1974,3332588.0
NLD,1975,3384838.0
NLD,1976,3420390.0
NLD,1977,3497971.0
NLD,1978,3598035.0
NLD,1979,3712577.0
NLD,1980,3746567.0
NLD,1981,3723816.0
NLD,1982,3752983.0
NLD,1983,3877760.0
NLD,1984,4003505.0
NLD,1985,4155549.0
NLD,1986,4267666.0
NLD,1987,4356657.0
NLD,1988,4490197.0
NLD,1989,4648707.0
NLD,1990,4747674.0
NLD,1991,4853268.0
NLD,1992,4915448.0
NLD,1993,4998085.0
NLD,1994,5135484.0
NLD,1995,5280120.0
NLD,1996,5442308.0
NLD,1997,5628745.0
NLD,1998,5812298.0
NLD,1999,5994555.0
NLD,2000,6149985.0
NLD,2001,6305225.0
NLD,2002,6363451.0
NLD,2003,6380017.0
NLD,2004,6351326.0
NLD,2005,6414221.0
NLD,2006,6551461.0
NLD,2007,6753732.0
NLD,2008,6854724.0
NLD,2009,6826500.0
NLD,2010,6870999.0
NLD,2011,6990700.0
KOR,1955,908000.0
KOR,1963,1974386.0
KOR,1964,2111036.0
KOR,1965,2320030.0
KOR,1966,2436584.0
KOR,1967,2544095.0
KOR,1968,2769165.0
KOR,1969,2919882.0
KOR,1970,3128273.0
KOR,1971,3430308.0
KOR,1972,3337388.0
KOR,1973,3393950.0
KOR,1974,3506563.0
KOR,1975,3646150.0
KOR,1976,3700447.0
KOR,1977,4017443.0
KOR,1978,4386565.0
KOR,1979,4727062.0
KOR,1980,5136542.0
KOR,1981,5391240.0
KOR,1982,5824897.0
KOR,1983,6028579.0
KOR,1984,6151910.0
KOR,1985,6701050.0
KOR,1986,6977885.0
KOR,1987,7291016.0
KOR,1988,7597242.0
KOR,1989,8067691.0
KOR,1990,8574472.0
KOR,1991,9038037.0
KOR,1992,9493572.0
KOR,1993,10115295.0
KOR,1994,10701766.0
KOR,1995,11238000.0
KOR,1996,11783000.0
KOR,1997,12326000.0
KOR,1998,12004000.0
KOR,1999,12454000.0
KOR,2000,13003000.0
KOR,2001,13539000.0
KOR,2002,14078000.0
KOR,2003,14129000.0
KOR,2004,14583000.0
KOR,2005,14950000.0
KOR,2006,15328000.0
KOR,2007,15705000.0
KOR,2008,15800827.0
KOR,2009,15753248.0
KOR,2010,15938485.0
ESP,1860,1009000.0
ESP,1877,1244000.0
ESP,1887,1026000.0
ESP,1900,1377000.0
ESP,1910,1078000.0
ESP,1920,1466000.0
ESP,1940,2215000.0
ESP,1950,2641000.0
ESP,1964,3640000.0
ESP,1970,5196341.0
ESP,1971,5297789.0
ESP,1972,5411125.0
ESP,1973,5526695.0
ESP,1974,5624104.0
ESP,1975,5722802.0
ESP,1976,5814437.0
ESP,1977,5904119.0
ESP,1978,5998867.0
ESP,1979,6094268.0
ESP,1980,6182693.0
ESP,1981,6274508.0
ESP,1982,6362516.0
ESP,1983,6410490.0
ESP,1984,6407400.0
ESP,1985,6462954.0
ESP,1986,6748817.0
ESP,1987,7161176.0
ESP,1988,7461796.0
ESP,1989,7825473.0
ESP,1990,8193025.0
ESP,1991,8478716.0
ESP,1992,8552085.0
ESP,1993,8488705.0
