Country Name,Country Code,Year,gdp
Africa Eastern and Southern,AFE,1960,24209933140.9893
Africa Western and Central,AFW,1960,11905107707.3341
Argentina,ARG,1960,15865474315.4056
Australia,AUS,1960,18607682977.2293
Austria,AUT,1960,6624086313.14334
Burundi,BDI,1960,195999990.0
Belgium,BEL,1960,11810619368.3874
Benin,BEN,1960,226195578.434497
Burkina Faso,BFA,1960,330442815.821186
Bangladesh,BGD,1960,4274894083.33333
"Bahamas, The",BHS,1960,169736027.157764
Belize,BLZ,1960,28072478.0724781
Bermuda,BMU,1960,72400000.0
Bolivia,BOL,1960,373250000.0
Brazil,BRA,1960,17030465539.3906
Barbados,BRB,1960,80021846.9453826
Botswana,BWA,1960,30411413.6552828
Central African Republic,CAF,1960,112155598.492157
Canada,CAN,1960,40563768946.9503
Switzerland,CHE,1960,10412232620.5258
Chile,CHL,1960,4211103676.74027
China,CHN,1960,59846235024.7318
Cote d'Ivoire,CIV,1960,546203559.344361
Cameroon,CMR,1960,614206068.497266
"Congo, Dem. Rep.",COD,1960,3359404117.64706
"Congo, Rep.",COG,1960,131731862.783017
Colombia,COL,1960,4031152976.63904
Costa Rica,CRI,1960,507513829.994855
Caribbean small states,CSS,1960,1165303060.28689
Germany,DEU,1960,84619845881.2608
Denmark,DNK,1960,6361166544.50349
Dominican Republic,DOM,1960,672399700.0
Algeria,DZA,1960,2723615451.30098
East Asia & Pacific (excluding high income),EAP,1960,80886065110.4851
Early-demographic dividend,EAR,1960,144570928956.34
East Asia & Pacific,EAS,1960,157278222710.432
Europe & Central Asia,ECS,1960,426433437219.808
Ecuador,ECU,1960,2069464937.19791
"Egypt, Arab Rep.",EGY,1960,4206270352.22633
Euro area,EMU,1960,251413246928.256
Spain,ESP,1960,12424514013.7604
Ethiopia,ETH,1960,1610511693.84215
European Union,EUU,1960,284940105505.945
Fragile and conflict affected situations,FCS,1960,34036728748.0324
Finland,FIN,1960,5279481824.12983
Fiji,FJI,1960,112328422.113084
France,FRA,1960,61756878990.3
Gabon,GAB,1960,141468977.799846
United Kingdom,GBR,1960,73233967692.1028
Ghana,GHA,1960,1217230094.97205
Greece,GRC,1960,4274890306.82895
Guatemala,GTM,1960,1043599900.0
Guyana,GUY,1960,170216241.126064
High income,HIC,1960,1093609209701.78
"Hong Kong SAR, China",HKG,1960,1320796651.69457
Honduras,HND,1960,335650000.0
Heavily indebted poor countries (HIPC),HPC,1960,21762906214.7968
Haiti,HTI,1960,273187200.0
IBRD only,IBD,1960,306294115053.622
IDA & IBRD total,IBT,1960,351523860888.83
IDA total,IDA,1960,43243384419.9462
IDA blend,IDB,1960,12400947761.6171
IDA only,IDX,1960,32022787242.4772
India,IND,1960,37029883876.1839
Ireland,IRL,1960,1998550221.80554
"Iran, Islamic Rep.",IRN,1960,4199134389.90099
Iraq,IRQ,1960,1537252193.09912
Iceland,ISL,1960,252169712.042125
Israel,ISR,1960,3070585807.33625
Italy,ITA,1960,42012422612.3955
Jamaica,JAM,1960,699064380.374248
Japan,JPN,1960,47419238274.4619
Kenya,KEN,1960,791265459.493816
St. Kitts and Nevis,KNA,1960,12366635.7500773
"Korea, Rep.",KOR,1960,3958811881.18812
Latin America & Caribbean (excluding high income),LAC,1960,61725175641.581
Liberia,LBR,1960,190495600.0
Libya,LBY,1960,401644248.9423
Latin America & Caribbean,LCN,1960,79071588140.7366
Least developed countries: UN classification,LDC,1960,28117422146.7604
Sri Lanka,LKA,1960,1409873949.57983
Lower middle income,LMC,1960,85546332528.0058
Low & middle income,LMY,1960,265881154648.018
Lesotho,LSO,1960,34579986.1680055
Late-demographic dividend,LTE,1960,183897734731.552
Luxembourg,LUX,1960,709941874.044355
Morocco,MAR,1960,2037154741.93211
Madagascar,MDG,1960,673081724.751168
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1960,29024394854.6905
Mexico,MEX,1960,13040000000.0
Middle income,MIC,1960,254235675434.041
Myanmar,MMR,1960,545098447.640862
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1960,21951472905.7657
Mauritius,MUS,1960,162089563.829564
Malaysia,MYS,1960,1916229477.13657
North America,NAC,1960,583026644046.276
Niger,NER,1960,449526873.29589
Nigeria,NGA,1960,4196174501.5302
Nicaragua,NIC,1960,227223322.141537
Netherlands,NLD,1960,13282979014.563
Norway,NOR,1960,5197398721.41367
Nepal,NPL,1960,508334413.965087
New Zealand,NZL,1960,5536098360.49526
OECD members,OED,1960,1061659565938.78
Oman,OMN,1960,44234656.4535004
Pakistan,PAK,1960,3749265014.69971
Panama,PAN,1960,537147100.0
Peru,PER,1960,2571986572.12719
Philippines,PHL,1960,7515894110.56487
Papua New Guinea,PNG,1960,230496036.879366
Pre-demographic dividend,PRE,1960,24371768029.6278
Puerto Rico (US),PRI,1960,1691900000.0
Portugal,PRT,1960,3339150157.85605
Paraguay,PRY,1960,288884368.016934
Post-demographic dividend,PST,1960,1037011577602.15
Rwanda,RWA,1960,119000024.0
South Asia,SAS,1960,43270012739.1649
Saudi Arabia,SAU,1960,1748124063.55556
Sudan,SDN,1960,1126364161.7644
Senegal,SEN,1960,1003692370.46869
Singapore,SGP,1960,704751700.302494
Sierra Leone,SLE,1960,322151960.784314
"Somalia, Fed. Rep.",SOM,1960,180459936.776025
Sub-Saharan Africa (excluding high income),SSA,1960,34323581980.2878
Sub-Saharan Africa,SSF,1960,35997718129.3813
Suriname,SUR,1960,99650000.0
Sweden,SWE,1960,15930258332.069
Eswatini,SWZ,1960,35076845.9692616
Seychelles,SYC,1960,12012024.6246505
Syrian Arab Republic,SYR,1960,857704413.407821
Chad,TCD,1960,313582728.147574
East Asia & Pacific (IDA & IBRD countries),TEA,1960,80803222392.8859
Togo,TGO,1960,171057069.137772
Thailand,THA,1960,2760750860.62197
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,74254828849.7672
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1960,21778972838.6763
South Asia (IDA & IBRD),TSA,1960,43270012739.165
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,35997718129.3814
Trinidad and Tobago,TTO,1960,535673252.483535
Turkiye,TUR,1960,7566666666.66667
Tanzania,TZA,1960,2651729807.38808
Uganda,UGA,1960,423145605.043164
Upper middle income,UMC,1960,168329970631.622
Uruguay,URY,1960,1242289239.20493
United States,USA,1960,542390475099.326
St. Vincent and the Grenadines,VCT,1960,13066634.0000817
"Venezuela, RB",VEN,1960,7663938303.07172
World,WLD,1960,1366518832081.63
South Africa,ZAF,1960,8748596500.5614
Zambia,ZMB,1960,698739720.783607
Zimbabwe,ZWE,1960,1052990484.78507
Africa Eastern and Southern,AFE,1961,24963256383.3821
Africa Western and Central,AFW,1961,12708033250.0511
Arab World,ARB,1961,19997084375.2129
Argentina,ARG,1961,20132220374.9093
Australia,AUS,1961,19684003149.4405
Austria,AUT,1961,7346566037.83392
Burundi,BDI,1961,202999992.0
Belgium,BEL,1961,12561701694.3319
Benin,BEN,1961,235668220.508202
Burkina Faso,BFA,1961,350247234.260712
Bangladesh,BGD,1961,4817580375.0
"Bahamas, The",BHS,1961,190022030.403525
Belize,BLZ,1961,29964999.965
Bermuda,BMU,1961,76500000.0
Bolivia,BOL,1961,406000000.0
Brazil,BRA,1961,17275940449.3837
Barbados,BRB,1961,85363759.3406016
Botswana,BWA,1961,32902612.8664855
Central African Republic,CAF,1961,123134583.463559
Canada,CAN,1961,41038192837.9035
Switzerland,CHE,1961,11713348834.3069
Chile,CHL,1961,4948564550.91046
China,CHN,1961,50162299349.7871
Cote d'Ivoire,CIV,1961,618245634.179831
Cameroon,CMR,1961,652777608.320492
"Congo, Dem. Rep.",COD,1961,3086746857.14286
"Congo, Rep.",COG,1961,151675738.926342
Colombia,COL,1961,4540447761.19403
Costa Rica,CRI,1961,490325181.614275
Caribbean small states,CSS,1961,1272022469.10602
Germany,DEU,1961,96558204043.1028
Denmark,DNK,1961,7058361229.35415
Dominican Republic,DOM,1961,654100200.0
Algeria,DZA,1961,2434747055.94018
East Asia & Pacific (excluding high income),EAP,1961,71247395333.073
Early-demographic dividend,EAR,1961,157434744082.748
East Asia & Pacific,EAS,1961,158513485673.287
Europe & Central Asia,ECS,1961,469119575469.96
Ecuador,ECU,1961,1753850955.05808
"Egypt, Arab Rep.",EGY,1961,4494575611.21289
Euro area,EMU,1961,279722204498.544
Spain,ESP,1961,14238126759.7335
Ethiopia,ETH,1961,1680859514.1016
European Union,EUU,1961,316588739741.399
Fragile and conflict affected situations,FCS,1961,35541909871.3895
Finland,FIN,1961,5984433774.41601
Fiji,FJI,1961,116987784.913739
France,FRA,1961,66806595974.7159
Gabon,GAB,1961,167637907.122782
United Kingdom,GBR,1961,77741965703.3544
Ghana,GHA,1961,1302674324.88378
Greece,GRC,1961,4892397431.33292
Guatemala,GTM,1961,1076699900.0
Guyana,GUY,1961,185849535.376162
High income,HIC,1961,1166571376215.82
"Hong Kong SAR, China",HKG,1961,1383681651.13776
Honduras,HND,1961,356200000.0
Heavily indebted poor countries (HIPC),HPC,1961,22458333234.5257
Haiti,HTI,1961,271066000.0
IBRD only,IBD,1961,310041704081.36
IDA & IBRD total,IBT,1961,358058594030.349
IDA total,IDA,1961,45693202196.0154
IDA blend,IDB,1961,13314112174.8694
IDA only,IDX,1961,33574168395.2697
India,IND,1961,39232435784.0358
Ireland,IRL,1961,2151772979.96956
"Iran, Islamic Rep.",IRN,1961,4426949094.83828
Iraq,IRQ,1961,1671960965.21561
Iceland,ISL,1961,257703244.559997
Israel,ISR,1961,3708586471.46387
Italy,ITA,1961,46649487320.4225
Jamaica,JAM,1961,748043500.7826
Japan,JPN,1961,57266758179.5883
Kenya,KEN,1961,792959472.816211
St. Kitts and Nevis,KNA,1961,12483302.125078
"Korea, Rep.",KOR,1961,2417628736.52655
Latin America & Caribbean (excluding high income),LAC,1961,68383216327.0088
Liberia,LBR,1961,183920900.0
Libya,LBY,1961,443905612.037755
Latin America & Caribbean,LCN,1961,87537799963.2124
Least developed countries: UN classification,LDC,1961,29399767874.3443
Sri Lanka,LKA,1961,1444327731.09244
Lower middle income,LMC,1961,91194246373.5142
Low & middle income,LMY,1961,269310258991.399
Lesotho,LSO,1961,35699985.7200057
Late-demographic dividend,LTE,1961,170915972810.505
Luxembourg,LUX,1961,710163719.406917
Morocco,MAR,1961,2025693539.55842
Madagascar,MDG,1961,699161944.558097
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1961,30987037284.5131
Mexico,MEX,1961,14160000000.0
Middle income,MIC,1961,257562931830.812
Myanmar,MMR,1961,605581577.287066
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1961,22897686861.8635
Mauritania,MRT,1961,159213430.204754
Mauritius,MUS,1961,191757729.477729
Malaysia,MYS,1961,1901856122.72231
North America,NAC,1961,603755471180.323
Niger,NER,1961,485785230.978987
Nigeria,NGA,1961,4467287893.08484
Nicaragua,NIC,1961,244144236.65331
Netherlands,NLD,1961,14599836396.388
Norway,NOR,1961,5669689210.3186
Nepal,NPL,1961,531959561.62226
New Zealand,NZL,1961,5721994864.23066
OECD members,OED,1961,1132435016398.73
Oman,OMN,1961,45634487.3539276
Pakistan,PAK,1961,4118647627.04746
Panama,PAN,1961,599026300.0
Peru,PER,1961,2897852693.27494
Philippines,PHL,1961,8171194424.94498
Papua New Guinea,PNG,1961,244832039.173126
Pre-demographic dividend,PRE,1961,25264613437.7674
Puerto Rico (US),PRI,1961,1865100000.0
