Country Name,Country Code,Year,unemployment
Africa Eastern and Southern,AFE,1991,8.17962867204006
Afghanistan,AFG,1991,8.07
Africa Western and Central,AFW,1991,4.15868027881975
Angola,AGO,1991,16.855
Albania,ALB,1991,10.304
Arab World,ARB,1991,11.9145083824283
United Arab Emirates,ARE,1991,1.625
Argentina,ARG,1991,5.44
Armenia,ARM,1991,1.783
Australia,AUS,1991,9.586
Austria,AUT,1991,3.42
Azerbaijan,AZE,1991,0.9
Burundi,BDI,1991,3.158
Belgium,BEL,1991,6.984
Benin,BEN,1991,1.64
Burkina Faso,BFA,1991,2.477
Bangladesh,BGD,1991,2.2
Bulgaria,BGR,1991,11.1
Bahrain,BHR,1991,1.051
"Bahamas, The",BHS,1991,12.17
Bosnia and Herzegovina,BIH,1991,17.55
Belarus,BLR,1991,0.6
Belize,BLZ,1991,9.69
Bolivia,BOL,1991,2.934
Brazil,BRA,1991,6.894
Barbados,BRB,1991,22.323
Brunei Darussalam,BRN,1991,4.7
Bhutan,BTN,1991,1.385
Botswana,BWA,1991,13.82
Central African Republic,CAF,1991,5.334
Canada,CAN,1991,10.316
Central Europe and the Baltics,CEB,1991,9.57714826844741
Switzerland,CHE,1991,1.818
Channel Islands,CHI,1991,5.861
Chile,CHL,1991,5.23
China,CHN,1991,2.37
Cote d'Ivoire,CIV,1991,6.603
Cameroon,CMR,1991,8.936
"Congo, Dem. Rep.",COD,1991,3.267
"Congo, Rep.",COG,1991,19.917
Colombia,COL,1991,10.12
Comoros,COM,1991,4.805
Cabo Verde,CPV,1991,13.535
Costa Rica,CRI,1991,5.37
Caribbean small states,CSS,1991,16.3029528373294
Cuba,CUB,1991,8.311
Cyprus,CYP,1991,3.0
Czechia,CZE,1991,2.27
Germany,DEU,1991,5.316
Djibouti,DJI,1991,25.669
Denmark,DNK,1991,9.099
Dominican Republic,DOM,1991,6.907
Algeria,DZA,1991,20.6
East Asia & Pacific (excluding high income),EAP,1991,2.40711360910144
Early-demographic dividend,EAR,1991,6.33439986099767
East Asia & Pacific,EAS,1991,2.453481720451
Europe & Central Asia (excluding high income),ECA,1991,4.44287892433259
Europe & Central Asia,ECS,1991,6.88775531511316
Ecuador,ECU,1991,4.385
"Egypt, Arab Rep.",EGY,1991,9.38
Euro area,EMU,1991,8.31721718313706
Eritrea,ERI,1991,5.097
Spain,ESP,1991,15.929
Estonia,EST,1991,1.468
Ethiopia,ETH,1991,3.264
European Union,EUU,1991,8.58763776597261
Fragile and conflict affected situations,FCS,1991,4.5095015914307
Finland,FIN,1991,6.503
Fiji,FJI,1991,4.633
France,FRA,1991,9.134
Gabon,GAB,1991,17.282
United Kingdom,GBR,1991,8.55
Georgia,GEO,1991,2.7
Ghana,GHA,1991,3.489
Guinea,GIN,1991,4.573
"Gambia, The",GMB,1991,9.861
Guinea-Bissau,GNB,1991,3.038
Equatorial Guinea,GNQ,1991,7.25
Greece,GRC,1991,7.572
Guatemala,GTM,1991,2.684
Guam,GUM,1991,3.509
Guyana,GUY,1991,12.055
High income,HIC,1991,6.57981117181391
"Hong Kong SAR, China",HKG,1991,1.8
Honduras,HND,1991,4.58
Heavily indebted poor countries (HIPC),HPC,1991,5.11956826825244
Croatia,HRV,1991,11.14
Haiti,HTI,1991,7.363
Hungary,HUN,1991,8.5
IBRD only,IBD,1991,4.97525000634258
IDA & IBRD total,IBT,1991,4.82485809355167
IDA total,IDA,1991,4.10807039624798
IDA blend,IDB,1991,3.25007218685371
Indonesia,IDN,1991,2.617
IDA only,IDX,1991,4.55465160954522
India,IND,1991,7.722
Ireland,IRL,1991,15.771
"Iran, Islamic Rep.",IRN,1991,11.1
Iraq,IRQ,1991,8.652
Iceland,ISL,1991,2.548
Israel,ISR,1991,13.387
Italy,ITA,1991,10.097
Jamaica,JAM,1991,6.235
Jordan,JOR,1991,21.406
Japan,JPN,1991,2.059
Kazakhstan,KAZ,1991,0.9
Kenya,KEN,1991,2.792
Kyrgyz Republic,KGZ,1991,1.0
Cambodia,KHM,1991,0.781
"Korea, Rep.",KOR,1991,2.407
Kuwait,KWT,1991,0.881
Latin America & Caribbean (excluding high income),LAC,1991,6.04478637586893
Lao PDR,LAO,1991,2.498
Lebanon,LBN,1991,8.609
Liberia,LBR,1991,2.641
Libya,LBY,1991,18.538
St. Lucia,LCA,1991,16.498
Latin America & Caribbean,LCN,1991,6.32863899672939
Least developed countries: UN classification,LDC,1991,4.55184954799942
Low income,LIC,1991,5.08982279694045
Sri Lanka,LKA,1991,14.661
Lower middle income,LMC,1991,6.07949832129435
Low & middle income,LMY,1991,4.66612076398995
Lesotho,LSO,1991,15.59
Late-demographic dividend,LTE,1991,3.64713180152608
Lithuania,LTU,1991,1.1
Luxembourg,LUX,1991,1.482
Latvia,LVA,1991,2.7
"Macao SAR, China",MAC,1991,3.01
Morocco,MAR,1991,13.538
Moldova,MDA,1991,1.9
Madagascar,MDG,1991,6.168
Maldives,MDV,1991,0.799
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1991,7.97012202212345
Mexico,MEX,1991,3.145
Middle income,MIC,1991,4.64191402554603
North Macedonia,MKD,1991,24.5
Mali,MLI,1991,1.405
Malta,MLT,1991,6.353
Myanmar,MMR,1991,0.832
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1991,8.05066776842351
Montenegro,MNE,1991,30.228
Mongolia,MNG,1991,5.659
Mozambique,MOZ,1991,2.842
Mauritania,MRT,1991,9.984
Mauritius,MUS,1991,9.507
Malawi,MWI,1991,4.923
Malaysia,MYS,1991,3.702
North America,NAC,1991,7.16085104908465
Namibia,NAM,1991,19.14
New Caledonia,NCL,1991,18.009
Niger,NER,1991,1.583
Nigeria,NGA,1991,3.851
Nicaragua,NIC,1991,7.946
Netherlands,NLD,1991,7.285
Norway,NOR,1991,5.407
Nepal,NPL,1991,10.484
New Zealand,NZL,1991,10.614
OECD members,OED,1991,6.78414270479512
Oman,OMN,1991,4.055
Other small states,OSS,1991,7.97386127413696
Pakistan,PAK,1991,0.611
Panama,PAN,1991,6.445
Peru,PER,1991,4.934
Philippines,PHL,1991,3.729
Papua New Guinea,PNG,1991,2.799
Poland,POL,1991,13.611
Pre-demographic dividend,PRE,1991,5.35343880366293
Puerto Rico (US),PRI,1991,16.18
"Korea, Dem. People's Rep.",PRK,1991,2.3
Portugal,PRT,1991,3.919
Paraguay,PRY,1991,5.1
West Bank and Gaza,PSE,1991,10.653
Pacific island small states,PSS,1991,3.89042642665223
Post-demographic dividend,PST,1991,6.30645497853292
French Polynesia,PYF,1991,11.592
Qatar,QAT,1991,0.87
Romania,ROU,1991,8.218
Russian Federation,RUS,1991,5.068
Rwanda,RWA,1991,12.31
South Asia,SAS,1991,7.31467149749349
Saudi Arabia,SAU,1991,7.294
Sudan,SDN,1991,15.652
Senegal,SEN,1991,2.867
Singapore,SGP,1991,2.18
Solomon Islands,SLB,1991,1.985
Sierra Leone,SLE,1991,4.085
El Salvador,SLV,1991,7.53
"Somalia, Fed. Rep.",SOM,1991,19.315
Serbia,SRB,1991,13.339
Sub-Saharan Africa (excluding high income),SSA,1991,6.87869131530684
South Sudan,SSD,1991,12.37
Sub-Saharan Africa,SSF,1991,6.5135503031811
Small states,SST,1991,9.57210032879262
Sao Tome and Principe,STP,1991,14.513
Suriname,SUR,1991,17.085
Slovak Republic,SVK,1991,12.166
Slovenia,SVN,1991,7.08
Sweden,SWE,1991,3.243
Eswatini,SWZ,1991,20.684
Syrian Arab Republic,SYR,1991,6.75
Chad,TCD,1991,0.674
East Asia & Pacific (IDA & IBRD countries),TEA,1991,2.40874403795317
Europe & Central Asia (IDA & IBRD countries),TEC,1991,5.88516272026416
Togo,TGO,1991,4.085
Thailand,THA,1991,2.63
Tajikistan,TJK,1991,1.845
Turkmenistan,TKM,1991,1.4
Latin America & the Caribbean (IDA & IBRD countries),TLA,1991,6.20290724125678
Timor-Leste,TLS,1991,3.51
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1991,8.03942448788434
Tonga,TON,1991,1.349
South Asia (IDA & IBRD),TSA,1991,7.31467149749349
Sub-Saharan Africa (IDA & IBRD countries),TSS,1991,6.5135503031811
Trinidad and Tobago,TTO,1991,18.52
Tunisia,TUN,1991,15.946
Turkiye,TUR,1991,8.21
Tanzania,TZA,1991,3.6
Uganda,UGA,1991,3.464
Ukraine,UKR,1991,1.9
Upper middle income,UMC,1991,3.76463711687699
Uruguay,URY,1991,8.95
United States,USA,1991,6.8
Uzbekistan,UZB,1991,1.9
St. Vincent and the Grenadines,VCT,1991,19.77
"Venezuela, RB",VEN,1991,9.45
Virgin Islands (U.S.),VIR,1991,11.718
Viet Nam,VNM,1991,2.142
Vanuatu,VUT,1991,7.997
World,WLD,1991,5.13377952912624
Samoa,WSM,1991,2.1
"Yemen, Rep.",YEM,1991,8.409
South Africa,ZAF,1991,23.002
Zambia,ZMB,1991,18.9
Zimbabwe,ZWE,1991,4.813
Africa Eastern and Southern,AFE,1992,8.27072384795289
Afghanistan,AFG,1992,8.011
Africa Western and Central,AFW,1992,4.2511017314273
Angola,AGO,1992,16.978
Albania,ALB,1992,30.007
Arab World,ARB,1992,12.1603853600891
United Arab Emirates,ARE,1992,1.713
Argentina,ARG,1992,6.36
Armenia,ARM,1992,1.8
Australia,AUS,1992,10.733
Austria,AUT,1992,3.59
Azerbaijan,AZE,1992,1.8
Burundi,BDI,1992,3.133
Belgium,BEL,1992,6.702
Benin,BEN,1992,1.51
Burkina Faso,BFA,1992,2.511
Bangladesh,BGD,1992,2.234
Bulgaria,BGR,1992,15.3
Bahrain,BHR,1992,0.971
"Bahamas, The",BHS,1992,14.81
Bosnia and Herzegovina,BIH,1992,18.5
Belarus,BLR,1992,3.1
Belize,BLZ,1992,9.697
Bolivia,BOL,1992,3.031
Brazil,BRA,1992,7.086
Barbados,BRB,1992,22.94
Brunei Darussalam,BRN,1992,4.711
Bhutan,BTN,1992,1.397
Botswana,BWA,1992,16.326
Central African Republic,CAF,1992,5.455
Canada,CAN,1992,11.197
Central Europe and the Baltics,CEB,1992,10.2193743198593
Switzerland,CHE,1992,2.344
Channel Islands,CHI,1992,6.316
Chile,CHL,1992,4.35
China,CHN,1992,2.37
Cote d'Ivoire,CIV,1992,6.7
